exp,at,etp,atp,rep,medium,ploidy,bcpexp,bcpwell,set,bc1,bc2,bc3,bc4,bc5,bc6,bc7,bc8,bc9,bc10,bc11,bc12,bc13,bc14,bc15,bc16,bc17,bc18,bc19,bc20,bc21,bc22,bc23
0_M5_25_R3,competition,25,0,3,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_25_R4,competition,25,0,4,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M5_0_R1,competition,0,2,1,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M5_0_R2,competition,0,2,2,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M5_0_R3,competition,0,2,3,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M5_0_R4,competition,0,2,4,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M5_25_R1,competition,25,2,1,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M5_25_R2,competition,25,2,2,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M5_25_R3,competition,25,2,3,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M5_25_R4,competition,25,2,4,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M6_0_R1,competition,0,0,1,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M6_0_R2,competition,0,0,2,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M6_0_R3,competition,0,0,3,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M6_0_R4,competition,0,0,4,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M6_25_R1,competition,25,0,1,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M6_25_R2,competition,25,0,2,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M6_25_R3,competition,25,0,3,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M6_25_R4,competition,25,0,4,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M6_0_R1,competition,0,2,1,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M6_0_R2,competition,0,2,2,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M6_0_R3,competition,0,2,3,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M6_0_R4,competition,0,2,4,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M6_25_R1,competition,25,2,1,CM,diploid,13,2,M6,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
